id_setor_censitario,sigla_uf,v052,v053,v054,v055,v056,v057,v058,v059,v060,v061,v062,v063
355030894000102,SP1,26,36,36,61,40,53,55,41,40,40,33,32
355030894000200,SP1,22,29,46,29,32,31,42,33,28,43,33,37
355030895000016,SP1,3,12,13,14,16,15,5,23,16,19,30,31
355030895000062,SP1,11,16,21,18,15,18,19,19,9,17,11,11
355030895000070,SP1,21,10,11,21,23,22,20,26,15,33,31,26
355030895000116,SP1,28,15,28,23,21,16,24,22,21,28,19,19
355030896000061,SP1,14,16,12,7,11,15,12,20,11,9,9,11
350030305000024,SP2,16,8,10,11,9,11,8,18,12,6,14,14
350070905000013,SP2,8,17,14,12,14,15,14,20,11,10,16,7
350070905000032,SP2,4,13,11,6,13,14,12,17,13,14,7,9
350115205000011,SP2,14,6,5,10,16,11,14,17,14,14,16,11
350140005000007,SP2,1,6,36,41,55,62,69,96,87,94,103,90
350160805000051,SP2,7,6,13,18,10,17,15,19,13,13,11,11
350160805000139,SP2,11,19,16,13,22,22,19,25,18,6,16,11
350160805000140,SP2,22,25,25,27,18,26,24,19,18,25,16,15
350160805000143,SP2,8,6,10,7,7,10,18,17,13,15,9,7
350160805000194,SP2,14,11,18,26,13,17,21,21,24,13,13,15
350160805000229,SP2,17,16,13,19,14,19,7,24,14,13,18,13
350170705000012,SP2,8,11,9,13,12,13,16,17,19,10,8,16
350190505000073,SP2,11,10,14,13,14,15,13,17,14,12,15,11
350190510000006,SP2,13,11,15,10,15,15,15,19,14,12,18,16
350210105000070,SP2,3,10,12,13,17,25,15,25,22,19,28,29
350210105000071,SP2,2,5,3,8,8,18,8,18,11,10,17,23
350250705000050,SP2,7,7,12,6,9,9,9,19,6,10,18,8
350275405000008,SP2,7,22,22,21,21,19,13,24,25,19,13,15
350280405000178,SP2,8,9,10,12,8,15,11,17,10,18,13,14
350320805000100,SP2,13,17,9,12,11,12,13,19,12,11,15,14
350320825000065,SP2,5,38,58,59,65,69,68,64,56,53,68,50
350320825000080,SP2,5,4,5,4,4,5,11,19,18,16,21,20
350330705000057,SP2,6,4,9,6,7,14,6,17,13,5,7,11
350330705000081,SP2,7,11,6,11,4,10,10,17,10,7,4,4
350330705000094,SP2,8,7,17,7,11,16,15,17,9,11,13,9
350330705000168,SP2,16,22,14,23,23,14,15,19,19,18,17,14
350380205000008,SP2,12,11,20,12,15,18,11,17,8,20,7,6
350380205000011,SP2,10,7,2,7,10,9,8,17,16,11,11,10
350380205000042,SP2,12,10,13,10,9,13,15,17,11,12,15,16
350400805000061,SP2,7,16,8,6,15,12,14,20,16,10,10,10
350400805000112,SP2,26,53,61,66,89,96,95,74,80,104,113,84
350450305000145,SP2,4,43,55,47,38,40,36,36,36,28,35,32
350450305000146,SP2,1,16,32,40,40,55,28,25,38,20,25,39
350520305000029,SP2,6,9,10,6,7,7,10,17,9,15,11,10
350550005000135,SP2,12,11,8,18,14,10,18,18,10,13,6,15
350560905000021,SP2,9,8,16,14,14,6,7,17,16,13,17,11
350560905000022,SP2,12,16,12,19,22,12,18,20,20,28,28,14
350560905000032,SP2,17,8,18,19,16,13,16,18,13,9,15,14
350570805000023,SP2,8,6,13,13,13,11,17,19,13,11,18,14
350570805000054,SP2,7,11,11,12,10,13,12,17,13,21,5,11
350570805000073,SP2,21,16,15,17,13,16,20,17,14,18,16,18
350570805000090,SP2,13,18,23,18,19,20,21,22,17,19,21,13
350570810000014,SP2,17,13,20,11,20,14,16,26,23,24,15,12
350570810000018,SP2,11,12,11,16,15,18,9,20,14,12,16,9
350570810000037,SP2,7,13,12,23,13,9,17,25,10,8,8,8
350570810000042,SP2,8,16,18,22,20,16,19,18,19,16,11,9
350570815000005,SP2,14,10,14,12,17,19,9,22,13,19,10,10
350570815000010,SP2,13,12,8,18,13,15,12,20,15,15,14,10
350570815000022,SP2,10,20,22,15,17,21,16,18,18,22,14,15
350570815000023,SP2,18,17,13,26,23,22,18,18,14,13,16,14
350570820000001,SP2,15,10,11,10,9,10,17,17,17,19,20,12
350570820000051,SP2,24,20,14,18,29,23,15,19,25,15,21,18
350590605000052,SP2,19,16,18,17,19,19,17,18,17,20,19,23
350600305000270,SP2,18,7,14,11,10,9,14,17,11,8,7,5
350600305000305,SP2,5,11,13,10,6,8,10,18,7,8,10,9
