id_setor_censitario,pessoas_5anos_mais_alfab
355030809000010,453
355030809000011,929
355030809000012,597
355030809000013,752
355030809000014,732
355030809000015,552
355030809000016,365
355030809000017,435
355030809000018,828
355030809000019,576
355030809000020,611
355030809000021,1920
355030809000022,799
355030809000023,886
355030809000024,518
355030809000025,482
355030809000026,705
355030809000027,921
355030809000028,363
355030809000029,553
355030809000030,498
355030809000031,549
355030809000032,392
355030809000033,479
355030809000034,900
355030809000035,712
355030809000036,629
355030809000037,647
355030809000038,632
355030809000039,652
355030809000040,934
355030809000041,576
355030809000042,110
355030809000043,663
355030809000044,663
355030809000045,469
355030809000046,18
355030809000047,285
355030809000048,200
355030809000049,492
355030809000050,557
355030810000001,409
355030810000002,364
355030810000003,155
355030810000004,1544
355030810000005,669
355030810000006,482
355030810000007,389
355030810000008,521
355030810000009,599
355030810000010,663
355030810000011,399
355030810000012,521
355030810000013,402
355030810000014,805
355030810000015,565
355030810000016,381
355030810000017,217
355030810000018,868
355030810000019,666
355030810000020,706
355030810000021,451
355030810000022,648
355030810000023,96
355030810000024,524
355030810000025,1018
355030810000026,193
355030810000027,436
355030810000028,252
355030810000029,133
355030810000030,380
355030810000031,418
355030810000032,707
355030810000033,435
355030810000034,490
355030810000035,449
355030810000036,508
355030810000037,422
355030810000038,468
355030810000039,641
355030810000040,396
355030810000041,183
355030810000042,485
355030810000043,408
355030810000044,338
355030810000045,492
355030810000046,511
355030810000047,242
355030810000048,205
355030810000049,412
355030810000050,593
355030810000051,231
355030810000052,318
355030810000053,674
355030810000054,630
355030810000055,174
355030810000056,326
355030811000001,764
355030811000002,632
355030811000003,1184
355030811000004,849
355030811000005,803
355030811000006,583
355030811000007,1038
355030811000008,674
355030811000009,640
355030811000010,837
355030811000011,635
355030811000012,885
355030811000013,395
355030811000014,763
355030811000015,1088
355030811000016,501
355030811000017,685
355030811000018,634
355030811000019,428
355030811000020,849
355030811000021,557
355030811000022,813
355030811000023,324
355030811000024,544
355030811000025,471
355030811000026,859
355030811000027,535
355030811000028,176
355030811000029,478
355030811000030,659
355030811000031,888
355030811000032,349
355030811000033,696
355030811000034,499
355030811000035,906
355030811000036,793
355030811000037,183
355030811000038,745
355030811000039,868
355030811000040,612
355030811000041,649
355030811000042,484
355030811000043,648
355030811000044,595
355030811000045,651
355030811000046,709
355030811000047,1054
355030811000048,111
355030811000049,210
355030811000050,466
355030811000051,543
355030811000052,437
355030811000053,403
355030811000054,731
355030811000055,162
355030811000056,675
355030811000057,572
355030811000058,893
355030811000059,260
355030811000060,756
355030811000061,811
355030811000062,746
355030811000063,632
355030811000064,626
355030811000065,763
355030811000066,407
355030811000067,612
355030811000068,1310
355030811000069,378
355030811000070,817
355030811000071,791
355030811000072,786
355030811000073,678
355030811000074,849
355030811000075,806
355030811000076,446
355030811000077,849
355030811000078,580
355030811000079,864
355030811000080,183
355030811000081,1033
355030811000082,599
355030811000083,500
355030811000084,369
355030811000085,855
355030811000086,549
355030811000087,867
355030811000088,47
355030811000089,585
355030811000090,1181
355030811000091,1082
355030811000092,966
355030811000093,706
355030811000094,835
355030811000095,977
355030811000096,710
355030811000097,780
355030811000098,392
355030811000099,695
355030811000100,467
355030811000101,601
355030811000102,704
355030811000103,434
355030811000104,570
355030811000105,658
355030811000106,633
355030811000107,934
355030811000108,692
355030811000109,876
355030811000110,526
355030811000111,1190
355030811000112,371
355030811000113,865
355030811000114,603
355030811000115,887
355030811000116,959
355030811000117,392
355030811000118,162
355030811000119,795
355030811000120,378
355030811000121,741
355030811000122,730
355030811000123,488
355030811000124,588
355030811000125,689
355030811000126,835
355030811000127,485
355030811000128,332
355030811000129,916
355030811000130,866
355030811000131,971
355030811000132,610
355030811000133,580
355030811000134,929
355030811000135,303
355030811000136,621
355030811000137,1514
355030811000138,815
355030811000139,504
355030811000140,2684
355030811000141,354
355030811000142,499
355030811000143,765
355030811000144,321
355030811000145,1035
355030811000146,1041
355030811000147,681
355030811000148,589
355030811000149,713
355030811000150,567
355030811000151,999
355030811000152,621
355030811000153,707
355030811000154,846
355030811000155,368
355030811000156,793
355030811000157,862
355030811000158,318
355030811000159,829
355030811000160,502
355030811000161,607
355030811000162,926
355030811000163,237
355030811000164,972
355030811000165,796
355030811000166,464
355030811000167,712
355030811000168,755
355030811000169,472
355030811000171,863
355030811000172,1033
355030811000173,405
355030811000174,790
355030811000175,183
355030811000176,907
355030811000177,1154
355030811000178,1156
355030811000179,951
355030811000180,830
355030811000181,668
355030811000182,763
355030811000183,880
355030811000184,833
355030811000185,594
355030811000186,874
355030811000187,598
355030811000188,1238
355030811000189,997
355030811000190,254
355030811000191,686
355030811000192,685
355030811000193,785
355030811000194,64
355030811000195,1269
355030811000196,768
355030811000197,1178
355030811000198,434
355030811000199,589
355030811000200,754
355030811000201,1154
355030811000202,981
